"Observation station","Year","Month","Day","Time [Local time]","Air temperature mean [°C]","Dew-point temperature mean [°C]","Cloud cover [1/8]","Air pressure mean [hPa]","Relative humidity mean [%]","Precipitation amount mean [mm]","Weather description","Horizontal visibility mean [m]"
"Tornio Torppi","2023","1","1","05:00","0.7","-0.6","Mostly cloudy (7/8)","980.3","91","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","05:10","0.5","-0.8","Partly cloudy (4/8)","980.4","91","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","05:20","0.4","-0.8","Mostly clear (2/8)","980.6","91","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","05:30","0.5","-0.9","Mostly clear (2/8)","980.6","90","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","05:40","0.4","-1","Clear (1/8)","980.6","90","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","05:50","0.4","-1.1","Mostly clear (2/8)","980.8","90","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","06:00","0.5","-1.2","Clear (1/8)","981","88","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","06:10","0.4","-1.3","Clear (1/8)","981.1","88","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","06:20","0.4","-1.5","Mostly clear (2/8)","981.3","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","06:30","0.3","-1.6","Mostly clear (3/8)","981.6","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","06:40","0.2","-1.8","Mostly clear (2/8)","981.8","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","06:50","0.2","-1.9","Clear (1/8)","981.9","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","07:00","0.1","-2","Clear (0/8)","982.1","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","07:10","0","-2.2","Clear (0/8)","982.3","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","07:20","0.1","-2.3","Mostly clear (3/8)","982.4","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","07:30","-0.1","-2.3","Partly cloudy (4/8)","982.6","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","07:40","-0.2","-2.4","Mostly clear (3/8)","982.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","07:50","-0.3","-2.4","Mostly clear (2/8)","983","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","08:00","-0.4","-2.5","Clear (1/8)","983.3","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","08:10","-0.3","-2.5","Partly cloudy (4/8)","983.2","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","08:20","-0.2","-2.6","Mostly cloudy (6/8)","983.5","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","08:30","-0.2","-2.7","Mostly cloudy (7/8)","983.6","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","08:40","-0.3","-2.9","Mostly cloudy (7/8)","983.7","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","08:50","-0.2","-3","Mostly cloudy (7/8)","983.9","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","09:00","-0.3","-3.2","Mostly cloudy (7/8)","984.1","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","09:10","-0.3","-3.2","Mostly cloudy (7/8)","984.2","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","09:20","-0.3","-3.3","Cloudy (8/8)","984.4","80","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","09:30","-0.4","-3.3","Cloudy (8/8)","984.6","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","09:40","-0.5","-3.4","Cloudy (8/8)","984.8","81","0","Snow grains","16792"
"Tornio Torppi","2023","1","1","09:50","-0.6","-3.4","Cloudy (8/8)","984.9","82","0","Snow grains","7085"
"Tornio Torppi","2023","1","1","10:00","-0.6","-3.7","Cloudy (8/8)","985.2","80","0","Snow grains","11814"
"Tornio Torppi","2023","1","1","10:10","-0.7","-3.7","Cloudy (8/8)","985.3","80","0","Snow showers. light","50000"
"Tornio Torppi","2023","1","1","10:20","-0.7","-3.8","Cloudy (8/8)","985.4","80","0","Drizzle or snow grains during previous hour, but not during observation.","49548"
"Tornio Torppi","2023","1","1","10:30","-0.7","-3.9","Cloudy (8/8)","985.6","79","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","10:40","-0.9","-3.7","Cloudy (8/8)","985.9","81","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","10:50","-0.9","-3.7","Cloudy (8/8)","986.1","81","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","11:00","-0.9","-3.7","Cloudy (8/8)","986.2","81","0","Showers or intermittent precipitation","39674"
"Tornio Torppi","2023","1","1","11:10","-1","-3.7","Cloudy (8/8)","986.4","82","0","Snow, light","4676"
"Tornio Torppi","2023","1","1","11:20","-1","-3.6","Cloudy (8/8)","986.7","83","0","Snow, light","4273"
"Tornio Torppi","2023","1","1","11:30","-1.1","-3.3","Cloudy (8/8)","986.8","85","0","Snow, light","3231"
"Tornio Torppi","2023","1","1","11:40","-1.4","-2.9","Cloudy (8/8)","987","89","0","Snow, light","1139"
"Tornio Torppi","2023","1","1","11:50","-1.5","-2.7","Cloudy (8/8)","987","92","0.13","Snow, light","869"
"Tornio Torppi","2023","1","1","12:00","-1.6","-2.7","Cloudy (8/8)","987.1","92","0.03","Snow, light","945"
"Tornio Torppi","2023","1","1","12:10","-1.6","-2.6","Cloudy (8/8)","987.2","93","0.15","Snow, light","1007"
"Tornio Torppi","2023","1","1","12:20","-1.5","-2.6","Cloudy (8/8)","987.2","93","0.03","Snow, light","1090"
"Tornio Torppi","2023","1","1","12:30","-1.5","-2.6","Cloudy (8/8)","987.2","92","0.13","Snow, light","1825"
"Tornio Torppi","2023","1","1","12:40","-1.3","-2.6","Cloudy (8/8)","987.3","91","0.03","Snow, light","2979"
"Tornio Torppi","2023","1","1","12:50","-1.2","-2.6","Cloudy (8/8)","987.5","90","0","Snow, light","5179"
"Tornio Torppi","2023","1","1","13:00","-1.1","-2.7","Cloudy (8/8)","987.7","89","0","Snow, light","10837"
"Tornio Torppi","2023","1","1","13:10","-1","-2.9","Cloudy (8/8)","987.8","87","0","Snow, light","9950"
"Tornio Torppi","2023","1","1","13:20","-0.9","-3","Cloudy (8/8)","987.8","85","0","Snow, light","4494"
"Tornio Torppi","2023","1","1","13:30","-0.9","-2.9","Cloudy (8/8)","988","87","0","Snow, light","2209"
"Tornio Torppi","2023","1","1","13:40","-1","-2.8","Cloudy (8/8)","988.1","88","0","Snow, light","1635"
"Tornio Torppi","2023","1","1","13:50","-0.9","-2.8","Cloudy (8/8)","988.2","87","0","Snow, light","4532"
"Tornio Torppi","2023","1","1","14:00","-0.9","-2.8","Cloudy (8/8)","988.3","87","0","Snow, light","3425"
"Tornio Torppi","2023","1","1","14:10","-0.9","-2.8","Cloudy (8/8)","988.4","87","0.08","Snow, light","3052"
"Tornio Torppi","2023","1","1","14:20","-0.8","-3","Cloudy (8/8)","988.5","85","0","Snow, light","5621"
"Tornio Torppi","2023","1","1","14:30","-0.8","-3.1","Cloudy (8/8)","988.6","84","0","Snow, light","5829"
"Tornio Torppi","2023","1","1","14:40","-0.6","-3.5","Cloudy (8/8)","988.7","81","0","Snow grains","31931"
"Tornio Torppi","2023","1","1","14:50","-0.4","-3.8","Cloudy (8/8)","988.8","78","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","1","15:00","-0.3","-4","Cloudy (8/8)","989","76","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","1","15:10","-0.4","-4","Cloudy (8/8)","988.9","77","0","Snow during previous hour, but not during observation","50000"
"Tornio Torppi","2023","1","1","15:20","-0.4","-4","Cloudy (8/8)","988.9","77","0","Drizzle or snow grains during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","15:30","-0.4","-4","Cloudy (8/8)","989.2","76","0","Precipitation during previous hour, but not during observation.","50000"
"Tornio Torppi","2023","1","1","15:40","-0.4","-4","Cloudy (8/8)","989.3","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","15:50","-0.3","-4","Cloudy (8/8)","989.5","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","16:00","-0.3","-4.1","Cloudy (8/8)","989.7","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","16:10","-0.2","-4.1","Cloudy (8/8)","989.9","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","16:20","-0.2","-4.1","Cloudy (8/8)","990.2","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","16:30","-0.2","-4.1","Cloudy (8/8)","990.4","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","16:40","-0.2","-4.2","Cloudy (8/8)","990.6","74","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","16:50","-0.3","-4.2","Cloudy (8/8)","990.9","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","17:00","-0.3","-4.2","Cloudy (8/8)","991.1","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","17:10","-0.2","-4.3","Cloudy (8/8)","991.4","74","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","17:20","-0.4","-4.2","Cloudy (8/8)","991.8","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","17:30","-0.4","-4.2","Cloudy (8/8)","992","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","17:40","-0.5","-4.2","Mostly cloudy (7/8)","992.1","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","17:50","-0.7","-4.2","Mostly cloudy (7/8)","992.4","77","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","18:00","-0.8","-4.3","Mostly cloudy (7/8)","992.6","77","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","18:10","-0.9","-4.5","Partly cloudy (5/8)","992.7","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","18:20","-0.9","-4.6","Mostly clear (3/8)","993.1","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","18:30","-1","-4.6","Partly cloudy (5/8)","993.4","77","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","18:40","-1.3","-4.6","Mostly cloudy (6/8)","993.5","78","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","18:50","-1.6","-4.6","Partly cloudy (4/8)","993.8","80","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","19:00","-1.7","-4.7","Partly cloudy (4/8)","994","80","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","19:10","-2","-4.9","Mostly clear (3/8)","994.2","80","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","19:20","-1.9","-5.1","Partly cloudy (5/8)","994.3","79","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","19:30","-2.1","-5.2","Mostly cloudy (6/8)","994.5","79","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","19:40","-2.1","-5.2","Mostly cloudy (7/8)","994.7","79","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","19:50","-2.1","-5.4","Partly cloudy (5/8)","994.9","79","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","20:00","-2.3","-5.4","Mostly clear (3/8)","995.2","79","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","20:10","-2.2","-5.6","Clear (1/8)","995.4","78","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","20:20","-2.2","-5.6","Mostly clear (2/8)","995.5","78","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","20:30","-2.2","-5.7","Partly cloudy (4/8)","995.7","77","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","20:40","-2.4","-5.8","Partly cloudy (4/8)","995.8","78","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","20:50","-2.5","-5.9","Mostly clear (2/8)","996","77","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","21:00","-2.5","-6","Clear (1/8)","996.2","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","21:10","-2.2","-6.1","Clear (0/8)","996.3","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","21:20","-2.1","-6.2","Clear (0/8)","996.5","73","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","21:30","-2.3","-6.3","Clear (0/8)","996.8","74","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","21:40","-2.5","-6.4","Clear (0/8)","997.1","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","21:50","-2.7","-6.4","Clear (0/8)","997.2","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","22:00","-2.8","-6.5","Clear (0/8)","997.5","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","22:10","-2.9","-6.5","Clear (0/8)","997.6","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","22:20","-2.9","-6.6","Clear (0/8)","997.9","76","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","22:30","-2.7","-6.7","Clear (0/8)","998.2","74","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","22:40","-3.2","-6.9","Clear (0/8)","998.4","75","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","22:50","-3.5","-6.8","Clear (0/8)","998.4","78","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","23:00","-4.4","-7.2","Clear (0/8)","998.8","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","23:10","-4.2","-6.9","Clear (0/8)","999","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","23:20","-4.3","-7","Clear (0/8)","999","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","23:30","-4.3","-7","Clear (0/8)","999.2","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","23:40","-4.1","-7","Clear (0/8)","999.3","80","0","No significant weather","50000"
"Tornio Torppi","2023","1","1","23:50","-4.3","-7.3","Clear (0/8)","999.4","80","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","00:00","-4","-7.2","Clear (0/8)","999.6","79","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","00:10","-4.1","-7.3","Clear (0/8)","999.7","78","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","00:20","-4.5","-7.3","Clear (0/8)","1000","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","00:30","-4.3","-7.1","Clear (0/8)","1000.2","81","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","00:40","-4.5","-7.2","Clear (0/8)","1000.3","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","00:50","-4.5","-7.2","Clear (0/8)","1000.2","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","01:00","-4.9","-7.5","Clear (1/8)","1000.2","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","01:10","-5.1","-7.4","Clear (0/8)","1000.6","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","01:20","-4.9","-7.4","Clear (0/8)","1000.6","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","01:30","-4.9","-7.4","Clear (0/8)","1000.7","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","01:40","-4.8","-7.3","Clear (0/8)","1000.9","83","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","01:50","-4.7","-7.3","Clear (0/8)","1001","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","02:00","-4.9","-7.4","Clear (0/8)","1001.2","82","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","02:10","-5.1","-7.5","Clear (0/8)","1001.5","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","02:20","-5.3","-7.5","Clear (0/8)","1001.7","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","02:30","-5.4","-7.5","Clear (0/8)","1001.8","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","02:40","-5.2","-7.4","Clear (0/8)","1002","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","02:50","-5.2","-7.3","Clear (0/8)","1002.1","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","03:00","-5.1","-7.3","Clear (0/8)","1002.1","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","03:10","-5.3","-7.3","Clear (0/8)","1002.3","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","03:20","-5","-7.2","Clear (0/8)","1002.5","85","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","03:30","-4.8","-7.1","Clear (0/8)","1002.6","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","03:40","-5","-7.2","Clear (0/8)","1002.7","84","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","03:50","-5.2","-7.2","Clear (0/8)","1002.9","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","04:00","-5.2","-7.2","Clear (0/8)","1003.1","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","04:10","-5.4","-7.4","Clear (0/8)","1003.1","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","04:20","-5.7","-7.4","Clear (0/8)","1003.3","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","04:30","-5.9","-7.6","Partly cloudy (4/8)","1003.3","88","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","04:40","-5.9","-7.5","Partly cloudy (5/8)","1003.4","89","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","04:50","-5.9","-7.4","Partly cloudy (4/8)","1003.5","89","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","05:00","-5.6","-7.3","Partly cloudy (5/8)","1003.7","88","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","05:10","-5.5","-7.3","Partly cloudy (4/8)","1003.9","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","05:20","-5.4","-7.2","Partly cloudy (4/8)","1004","88","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","05:30","-5.4","-7.2","Mostly clear (2/8)","1004.1","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","05:40","-5.4","-7.1","Clear (1/8)","1004.2","88","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","05:50","-5.2","-7","Clear (0/8)","1004.3","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","06:00","-5.1","-7","Clear (0/8)","1004.3","86","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","06:10","-5.2","-7.1","Clear (0/8)","1004.6","87","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","06:20","-5.3","-7.1","Clear (0/8)","1004.8","88","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","06:30","-5.4","-6.9","Clear (0/8)","1004.9","90","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","06:40","-6.1","-7.5","Clear (0/8)","1004.8","90","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","06:50","-6.1","-7.2","Clear (0/8)","1004.9","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","07:00","-5.9","-7.5","Clear (0/8)","1005.2","89","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","07:10","-6.2","-7.5","Clear (0/8)","1005.2","90","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","07:20","-6.3","-7.4","Clear (0/8)","1005.2","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","07:30","-6.9","-7.9","Clear (0/8)","1005.3","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","07:40","-7","-7.7","Clear (0/8)","1005.4","94","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","07:50","-7.4","-8.3","Clear (0/8)","1005.6","94","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","08:00","-7.1","-8.2","Clear (0/8)","1005.8","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","08:10","-7.6","-8.6","Clear (0/8)","1006.1","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","08:20","-7.6","-8.8","Clear (0/8)","1006.1","91","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","08:30","-8","-9.1","Clear (0/8)","1006.1","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","08:40","-8.4","-9.2","Clear (0/8)","1006.3","94","0","No significant weather","39986"
"Tornio Torppi","2023","1","2","08:50","-8.2","-8.7","Clear (0/8)","1006.4","96","0","No significant weather","35107"
"Tornio Torppi","2023","1","2","09:00","-8.4","-9.8","Clear (0/8)","1006.7","90","0","No significant weather","31528"
"Tornio Torppi","2023","1","2","09:10","-8.4","-9.1","Clear (0/8)","1006.9","95","0","No significant weather","26038"
"Tornio Torppi","2023","1","2","09:20","-8.4","-9.1","Clear (0/8)","1006.9","95","0","No significant weather","37033"
"Tornio Torppi","2023","1","2","09:30","-7.7","-8.2","Clear (0/8)","1007.1","97","0","No significant weather","49450"
"Tornio Torppi","2023","1","2","09:40","-7.7","-8.6","Clear (0/8)","1007.2","93","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","09:50","-7.6","-8.4","Clear (0/8)","1007.5","94","0","No significant weather","34764"
"Tornio Torppi","2023","1","2","10:00","-7.7","-8.5","Clear (0/8)","1007.7","94","0","No significant weather","10773"
"Tornio Torppi","2023","1","2","10:10","-7.4","-8.5","Clear (0/8)","1007.7","92","0","No significant weather","16526"
"Tornio Torppi","2023","1","2","10:20","-7.9","-8.7","Clear (0/8)","1007.6","94","0","No significant weather","11011"
"Tornio Torppi","2023","1","2","10:30","-8.2","-9","Clear (0/8)","1007.9","93","0","No significant weather","26743"
"Tornio Torppi","2023","1","2","10:40","-8.8","-9.9","Clear (0/8)","1007.8","92","0","No significant weather","47158"
"Tornio Torppi","2023","1","2","10:50","-7.9","-8.4","Clear (0/8)","1007.7","96","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","11:00","-8.1","-8.7","Clear (0/8)","1007.9","95","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","11:10","-8.3","-9.1","Clear (0/8)","1008.1","94","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","11:20","-8.4","-9.2","Clear (0/8)","1008.2","95","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","11:30","-8.3","-9.3","Clear (0/8)","1008.3","93","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","11:40","-7.9","-8.7","Clear (0/8)","1008.3","94","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","11:50","-7.4","-8.2","Clear (0/8)","1008.6","94","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","12:00","-8","-9.4","Clear (0/8)","1008.5","90","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","12:10","-7.6","-8.2","Clear (0/8)","1008.5","95","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","12:20","-6.9","-8","Clear (0/8)","1008.6","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","12:30","-6.8","-7.7","Clear (0/8)","1008.8","93","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","12:40","-6.4","-7.5","Clear (0/8)","1008.8","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","12:50","-6.5","-7.7","Clear (0/8)","1009","91","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","13:00","-6.6","-7.7","Clear (0/8)","1009","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","13:10","-6.7","-7.8","Clear (0/8)","1009.1","92","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","13:20","-6.7","-7.6","Clear (0/8)","1009.2","93","0","No significant weather","50000"
"Tornio Torppi","2023","1","2","13:30","-6.9","-7.9","Clear (0/8)","1009.3","93","0","No significant weather","50000"
